Entry_ID,Eye tracking,Imaging structure,Imaging function,Stimuli,Modality,Repetition of encoding trials,Delay
Guttentag_2003_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hala_2005_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hala_2005_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Halford_1977_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Halford_1977_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hammer_2009_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Harris_1975_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Harris_1975_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hashimoto_1991_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hassevoort_2020_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hassevoort_2020_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hassevoort_2020_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayes_1996_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayes_1996_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayes_2013_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayes_2013_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayes_2017_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayes_2017_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayes_2017_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayne_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayne_2011_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayne_2011_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hayne_2011_Task_4,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hembacher_2014_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Holliday_2006_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Holliday_2008_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hömberg_1993_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hömberg_1993_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Horn_2020_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Horton_1980_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howard_2019_Task_1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Howe_1985_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_1993_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2004_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2005_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2006_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2006_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2008_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2008_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2008_Task_3,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2009_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Howe_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hudson_1983_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hudson_1986_Task_1,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Hudson_1986_Task_2,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Hudson_1990_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hupbach_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Hupbach_2011_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Huttenlocher_1976_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Imai_1994_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Jack_2012_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Jack_2012_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
James_2021_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Janacsek_2012_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
